x,y,intensity,inclination
78.55,9.1,40.573987,-0.609815
78.55,8.1,70.788043,-0.885072
47.55,22.1,44.415439,-0.335947
40.55,21.1,60.270220,-0.883716
79.55,9.1,41.053923,-0.559170
40.55,20.1,52.172797,-0.521538
79.55,8.1,67.115288,-0.871685
31.55,7.1,38.857738,-0.347651
72.55,9.1,44.768697,-0.233833
72.55,8.1,64.050340,-0.614452
22.55,16.1,30.539641,-0.649933
22.55,17.1,19.578922,-1.077968
40.55,22.1,61.500499,-1.093782
73.55,9.1,30.460277,-0.823161
22.55,20.1,38.968297,0.069884
22.55,21.1,33.114143,0.284655
41.55,21.1,62.929519,-0.929206
73.55,8.1,59.823981,-0.712573
22.55,18.1,16.014334,-0.057356
41.55,20.1,43.280518,0.059777
22.55,19.1,16.120404,0.157997
22.55,22.1,40.170368,-0.700049
74.55,9.1,25.240768,-0.480550
74.55,8.1,51.940597,-0.841110
41.55,22.1,122.279845,-0.690503
75.55,9.1,21.801911,0.159841
42.55,21.1,53.486086,-1.076960
75.55,8.1,47.249326,-1.014742
42.55,20.1,22.347283,-0.555104
30.55,7.1,41.360418,-0.528096
68.55,9.1,24.948341,1.277626
15.55,8.1,51.853223,-0.945093
68.55,8.1,37.609038,-0.687229
15.55,9.1,45.868615,-0.763812
21.55,17.1,22.948952,-0.845574
42.55,22.1,44.201419,-1.001944
80.55,7.1,52.065335,-0.754964
21.55,21.1,33.795183,0.349611
43.55,21.1,49.223987,-1.066435
21.55,18.1,14.209774,-0.317596
43.55,20.1,15.669576,-0.863344
69.55,9.1,27.745300,1.273031
21.55,19.1,31.780235,0.377519
21.55,16.1,30.303294,-1.359917
43.55,22.1,46.114264,-0.855733
69.55,8.1,42.354211,-0.612633
81.55,7.1,48.477815,-0.376566
21.55,22.1,34.712903,-0.724400
21.55,20.1,36.004817,0.109082
65.55,7.1,52.881128,-0.257132
27.55,22.1,38.146956,-0.825559
66.55,7.1,37.956684,-0.400877
29.55,7.1,38.223520,-0.704239
67.55,7.1,38.480940,-0.584811
10.55,7.1,59.198515,-0.208586
44.55,21.1,50.115176,-0.920645
44.55,20.1,15.145870,-0.619074
44.55,22.1,60.035400,-0.751817
45.55,21.1,48.789788,-0.794466
20.55,22.1,49.795962,-0.658025
20.55,20.1,58.854767,-0.114561
20.55,21.1,40.490432,0.101063
26.55,22.1,37.213427,-0.762118
45.55,20.1,17.037740,-0.192590
45.55,22.1,51.865821,-0.611523
46.55,21.1,46.360495,-0.716232
28.55,7.1,36.657484,-1.118677
76.55,9.1,19.207157,-0.235236
46.55,20.1,18.254305,-0.039835
76.55,8.1,54.275734,-1.031863
46.55,22.1,46.129250,-0.417608
47.55,21.1,46.206341,-0.684450
77.55,9.1,31.920819,-0.621267
47.55,20.1,18.746542,-0.126944
77.55,8.1,66.121223,-0.974388
27.55,20.1,70.350384,-1.281915
27.55,21.1,28.105971,-0.219399
25.55,22.1,40.136543,-0.829863
73.55,7.1,45.782553,-0.662433
25.55,20.1,38.317611,-0.641943
74.55,7.1,49.678849,-0.899363
75.55,7.1,56.086830,-1.134833
11.55,7.1,63.745871,-0.458046
68.55,7.1,42.570461,-0.867348
26.55,20.1,52.638762,-0.840016
26.55,21.1,28.983040,-0.223146
24.55,22.1,48.860430,-0.856681
69.55,7.1,40.723380,-0.832036
24.55,20.1,35.639071,-0.671766
24.55,21.1,28.731379,-0.121111
70.55,7.1,39.754648,-0.677138
71.55,7.1,41.614118,-0.541274
64.55,7.1,51.193842,-0.467595
25.55,21.1,27.460242,-0.178669
31.55,20.1,32.093058,-0.230680
31.55,21.1,42.453134,-1.132328
31.55,22.1,28.643180,-0.677500
76.55,7.1,62.384056,-1.039971
30.55,20.1,39.404809,-0.930092
30.55,21.1,32.940316,-0.377072
77.55,7.1,68.495877,-0.931604
30.55,22.1,60.821239,-0.913971
78.55,7.1,70.557113,-0.793396
79.55,7.1,61.838862,-0.838034
10.55,8.1,138.508368,-0.475023
10.55,9.1,152.855877,-0.677312
72.55,7.1,50.215562,-0.567760
29.55,21.1,30.118478,-0.394993
67.55,22.1,41.988159,-0.918873
50.55,9.1,23.624477,-0.718480
29.55,22.1,45.313245,-0.927647
50.55,8.1,33.167770,-1.071390
67.55,21.1,40.862979,-0.838961
29.55,20.1,76.643361,-1.387574
67.55,20.1,43.230687,-0.447927
51.55,9.1,28.997086,-0.608444
51.55,8.1,35.865347,-0.734376
28.55,22.1,33.116120,-0.840712
28.55,20.1,84.965206,-1.274036
28.55,21.1,26.478239,-0.345623
11.55,8.1,89.544769,-0.632629
11.55,9.1,97.298297,-0.623504
53.55,13.1,26.982377,-1.177550
53.55,12.1,26.489897,-1.141436
53.55,15.1,37.808115,-0.742537
54.55,9.1,50.095073,-0.776877
53.55,14.1,24.508134,-1.081471
54.55,8.1,49.761870,-0.620143
68.55,21.1,48.200738,-0.857626
68.55,20.1,42.198837,-0.486431
54.55,11.1,31.133031,-0.973742
68.55,22.1,50.907131,-1.003078
54.55,10.1,22.327922,-0.977591
54.55,13.1,26.811551,-1.067565
69.55,21.1,52.731405,-0.940413
54.55,12.1,34.817204,-1.232288
69.55,20.1,39.864261,-0.825909
54.55,15.1,43.975364,-0.558277
69.55,22.1,53.280255,-0.997994
70.55,17.1,31.732104,-0.598841
54.55,14.1,22.225250,-1.008492
55.55,9.1,56.648611,-0.692077
70.55,20.1,54.962707,-0.960840
55.55,8.1,49.893744,-0.492902
70.55,22.1,48.964398,-0.964814
71.55,17.1,40.948979,-1.326395
70.55,16.1,28.551163,-1.024333
70.55,19.1,46.417613,-0.686166
70.55,18.1,45.010489,-0.419796
70.55,21.1,53.612300,-0.983693
71.55,20.1,58.690331,-0.942822
71.55,22.1,63.434827,-0.869486
71.55,16.1,40.428068,-1.082490
71.55,19.1,79.811887,-1.016886
71.55,18.1,41.382470,-1.249407
71.55,21.1,54.145707,-0.959906
48.55,9.1,46.617395,-1.156412
64.55,20.1,39.300209,-1.077887
48.55,8.1,43.965163,-1.233066
64.55,22.1,25.709585,-0.692670
64.55,21.1,35.603723,-1.036768
65.55,20.1,35.191492,-1.048087
65.55,22.1,21.507812,-0.739541
49.55,9.1,33.978553,-0.990040
65.55,21.1,32.265612,-1.025762
49.55,8.1,36.113803,-1.193238
66.55,22.1,26.094219,-0.671458
66.55,21.1,33.492209,-0.898592
66.55,20.1,38.190072,-0.624835
58.55,9.1,45.873755,-0.836818
58.55,8.1,46.905293,-0.829954
59.55,9.1,58.735959,-1.052317
59.55,8.1,49.729893,-0.943573
52.55,9.1,48.993561,-0.709588
52.55,8.1,44.615133,-0.562268
52.55,11.1,24.343757,-1.187892
52.55,10.1,26.914529,-1.158927
52.55,13.1,25.522512,-1.148716
52.55,12.1,27.937083,-1.239785
52.55,15.1,27.429409,-0.744675
52.55,14.1,21.844306,-0.858468
53.55,9.1,50.209583,-0.730894
53.55,8.1,48.127769,-0.614928
53.55,11.1,21.965501,-1.197118
53.55,10.1,22.835758,-1.370679
55.55,7.1,38.618831,-0.549599
62.55,9.1,58.974155,-1.364003
62.55,8.1,54.327280,-0.917669
48.55,7.1,48.393932,-1.078526
63.55,9.1,69.501150,-0.730415
63.55,8.1,55.665334,-0.683945
49.55,7.1,47.716525,-1.116012
56.55,9.1,53.978446,-0.690872
56.55,8.1,47.908352,-0.508350
50.55,7.1,50.452954,-0.970945
57.55,9.1,54.838248,-0.723794
57.55,8.1,46.867181,-0.598394
51.55,7.1,48.538626,-0.634319
33.55,8.1,46.115509,-0.692479
59.55,7.1,44.329870,-0.941502
34.55,9.1,46.658685,-0.891546
34.55,8.1,48.459264,-0.847021
52.55,7.1,38.977651,-0.529872
19.55,9.1,57.169210,-1.242894
19.55,8.1,60.810875,-1.237963
35.55,9.1,51.422856,-0.803801
35.55,8.1,59.980861,-0.955296
53.55,7.1,41.013128,-0.771055
12.55,20.1,29.972896,-0.101374
60.55,9.1,65.255906,-1.030347
12.55,21.1,42.146172,-0.353400
12.55,22.1,35.869628,-0.482744
60.55,8.1,56.590484,-0.948328
54.55,7.1,41.296374,-0.768494
18.55,9.1,48.673822,-1.058734
18.55,8.1,59.485151,-1.184015
61.55,9.1,66.890888,-1.067529
61.55,8.1,59.733151,-0.947081
37.55,9.1,69.497053,-0.789731
37.55,8.1,64.985677,-0.732464
37.55,11.1,50.146383,-1.060225
63.55,7.1,47.546100,-0.518826
37.55,10.1,38.598768,-1.049991
37.55,13.1,40.248698,-1.019632
37.55,12.1,53.825093,-1.260955
37.55,15.1,23.974702,-1.124950
38.55,9.1,63.116824,-0.845928
37.55,14.1,23.672515,-0.993915
38.55,8.1,63.299183,-0.866470
38.55,11.1,42.868334,-0.904241
56.55,7.1,37.769217,-0.564212
38.55,10.1,43.453432,-1.070711
38.55,13.1,36.485129,-1.240031
38.55,12.1,44.038875,-0.937200
38.55,15.1,26.553583,-1.233694
17.55,9.1,41.260694,-0.944730
38.55,14.1,33.514867,-1.318812
17.55,8.1,57.800136,-1.190444
39.55,9.1,49.228548,-0.979815
39.55,8.1,59.057739,-1.109826
57.55,7.1,35.048820,-0.655024
13.55,20.1,35.453108,-0.531239
13.55,21.1,39.271101,-0.655251
13.55,22.1,32.040314,-0.767909
32.55,9.1,52.464978,-0.698455
32.55,8.1,52.512990,-0.621185
58.55,7.1,40.332294,-0.928459
16.55,9.1,39.653758,-0.836385
16.55,8.1,54.064525,-1.083551
33.55,9.1,49.588822,-0.750004
22.55,8.1,67.799194,-1.182528
48.55,22.1,80.970102,-0.082459
19.55,7.1,48.018766,-1.298309
22.55,11.1,44.800901,-0.994423
41.55,9.1,42.702273,-1.264663
22.55,10.1,43.036153,-0.927094
41.55,8.1,65.562752,-1.386980
22.55,13.1,48.637387,-0.697017
48.55,21.1,50.293563,-0.735043
35.55,7.1,43.225292,-1.075474
48.55,20.1,22.253656,-0.472240
22.55,12.1,42.924773,-0.784819
22.55,15.1,32.929102,-0.463374
22.55,14.1,42.133231,-0.687485
42.55,9.1,55.184332,-0.966385
49.55,22.1,57.580047,-0.609217
42.55,8.1,57.784449,-1.075413
60.55,7.1,49.891931,-0.862902
49.55,21.1,52.066105,-0.932310
49.55,20.1,55.984072,-1.059879
23.55,9.1,56.146458,-1.170481
23.55,8.1,62.395808,-1.081959
43.55,9.1,66.258266,-0.886774
50.55,22.1,55.436304,-1.359358
21.55,8.1,72.084600,-1.295857
43.55,8.1,58.091375,-0.851144
18.55,7.1,55.498222,-1.184131
21.55,11.1,33.332995,-0.668728
61.55,7.1,56.838652,-0.808216
21.55,10.1,49.091210,-1.041710
50.55,21.1,56.333907,-1.068897
50.55,20.1,55.898339,-0.960594
21.55,13.1,50.579193,-0.969934
14.55,20.1,40.620924,-0.768619
14.55,21.1,37.270687,-0.805690
21.55,12.1,39.149787,-0.691419
14.55,22.1,23.380645,-0.883494
21.55,15.1,44.287906,-1.221355
21.55,14.1,54.198820,-1.197726
36.55,9.1,64.623094,-0.821320
36.55,8.1,63.884217,-0.837217
51.55,21.1,57.717748,-1.016220
51.55,20.1,54.767496,-0.765478
62.55,7.1,51.548116,-0.727448
51.55,22.1,84.059046,-0.803719
22.55,9.1,55.669834,-1.307101
20.55,9.1,124.345095,-1.515866
52.55,21.1,51.476435,-1.019120
52.55,20.1,50.640356,-1.019897
20.55,8.1,69.863881,-1.354496
52.55,22.1,56.287492,-0.867239
17.55,7.1,53.224227,-1.204273
52.55,17.1,32.658143,-1.037092
45.55,9.1,48.237941,-0.939946
52.55,16.1,35.609634,-0.916778
52.55,19.1,43.165846,-1.093217
45.55,8.1,50.777571,-1.068466
52.55,18.1,34.856156,-0.991245
12.55,7.1,57.814475,-0.571671
39.55,7.1,50.563202,-0.990156
53.55,17.1,41.478672,-1.066758
53.55,20.1,49.406452,-1.143384
46.55,9.1,48.505271,-1.041581
53.55,22.1,35.970045,-0.781886
46.55,8.1,52.787602,-1.204001
53.55,16.1,46.313345,-0.891929
53.55,19.1,49.822132,-1.108645
32.55,7.1,36.540693,-0.244957
53.55,18.1,41.420204,-1.077049
53.55,21.1,41.198529,-1.081182
54.55,17.1,40.640101,-1.057455
21.55,9.1,66.053907,-1.345931
54.55,20.1,54.904364,-1.233111
27.55,9.1,54.187966,-0.942655
47.55,9.1,45.338054,-1.151269
54.55,22.1,28.438614,-0.626004
27.55,8.1,51.848653,-0.745606
47.55,8.1,43.717127,-1.307349
54.55,16.1,58.725387,-0.692235
16.55,7.1,59.095602,-1.117969
54.55,19.1,64.905490,-1.187173
15.55,20.1,45.200303,-0.952478
33.55,7.1,28.858866,-0.556341
54.55,18.1,45.093236,-1.188823
15.55,21.1,41.048908,-0.849459
54.55,21.1,38.537805,-1.202280
15.55,22.1,30.460285,-0.853647
55.55,22.1,30.493741,-0.794480
40.55,9.1,46.346846,-1.039698
40.55,8.1,65.758082,-1.406815
55.55,21.1,39.179833,-1.229937
34.55,7.1,30.259699,-1.128681
55.55,20.1,52.742085,-1.338508
26.55,9.1,36.545761,-1.003051
56.55,21.1,36.139898,-1.092381
56.55,20.1,38.104063,-1.032634
26.55,8.1,45.910982,-0.916706
23.55,7.1,56.447140,-0.725689
13.55,7.1,45.381166,-0.600658
43.55,7.1,36.075039,-0.735657
56.55,22.1,29.032680,-0.790050
57.55,21.1,38.152138,-0.962686
57.55,20.1,42.158877,-0.635339
36.55,7.1,45.600729,-0.814738
57.55,22.1,30.838331,-0.928415
58.55,21.1,37.252440,-0.865489
58.55,20.1,38.976489,-0.740271
25.55,9.1,41.661597,-0.738182
8.55,20.1,77.720658,-0.884907
25.55,8.1,48.587178,-1.029223
8.55,21.1,69.860300,-0.872938
8.55,22.1,70.588131,-1.086767
22.55,7.1,61.988034,-0.848099
37.55,7.1,48.108800,-0.545823
58.55,22.1,33.586621,-0.862100
59.55,21.1,31.851788,-0.860049
59.55,20.1,37.328804,-0.749391
59.55,22.1,23.728253,-0.551579
44.55,9.1,60.228894,-0.861829
44.55,8.1,54.110874,-0.841398
38.55,7.1,45.245040,-0.938751
24.55,9.1,46.452361,-0.988623
24.55,8.1,58.101945,-1.067273
21.55,7.1,63.555304,-1.048675
80.55,9.1,31.360410,-0.544690
14.55,7.1,43.930376,-0.849671
80.55,8.1,60.155080,-0.781005
60.55,21.1,31.420055,-0.872913
47.55,7.1,50.701226,-1.138804
60.55,20.1,35.122643,-0.658065
60.55,22.1,22.491967,-0.449964
81.55,9.1,26.067045,0.113264
61.55,21.1,37.738019,-0.868583
81.55,8.1,59.092504,-0.451352
40.55,7.1,66.054926,-1.357430
61.55,20.1,33.992885,-0.845660
61.55,22.1,70.443931,-0.341134
9.55,20.1,82.409066,-0.574605
9.55,21.1,73.189110,-0.615820
62.55,21.1,38.771292,-0.899636
9.55,22.1,59.138499,-0.857501
31.55,9.1,61.223350,-0.532170
31.55,8.1,57.337247,-0.603331
20.55,7.1,83.413118,-0.710383
41.55,7.1,72.481723,-1.155962
12.55,8.1,69.529036,-0.762113
62.55,20.1,28.433548,-0.927124
12.55,9.1,64.599340,-0.703755
62.55,22.1,35.085304,-0.791428
63.55,21.1,38.670399,-0.971223
63.55,20.1,37.309050,-1.005264
19.55,20.1,65.046960,-0.963015
19.55,21.1,54.068692,-0.800340
19.55,22.1,59.780866,-0.871257
42.55,7.1,54.524031,-0.880534
63.55,22.1,34.885286,-0.866608
30.55,9.1,56.264970,-0.836324
30.55,8.1,62.761888,-0.654236
32.55,22.1,26.134051,-1.131900
27.55,7.1,26.880871,-0.793988
15.55,7.1,45.695302,-1.045667
32.55,21.1,41.811070,-1.287333
32.55,20.1,33.238891,-0.695699
18.55,20.1,68.759554,-1.262722
18.55,21.1,56.384885,-0.977553
33.55,22.1,47.184845,-1.055490
18.55,22.1,56.541831,-0.942441
44.55,7.1,28.058050,-0.897437
33.55,21.1,50.318750,-1.180211
33.55,20.1,37.199959,-1.121849
11.55,20.1,40.338050,-0.061911
11.55,21.1,53.905682,-0.166790
10.55,20.1,92.986837,-0.074933
10.55,21.1,69.624089,-0.284199
10.55,22.1,80.786008,-0.301401
29.55,9.1,71.804782,-0.765460
34.55,22.1,52.312904,-1.082246
29.55,8.1,62.862331,-0.674618
26.55,7.1,33.992655,-0.719902
45.55,7.1,40.173398,-1.162111
34.55,21.1,52.855948,-1.040449
34.55,20.1,32.150169,-0.836900
13.55,8.1,60.661976,-0.777080
13.55,9.1,58.301121,-0.749602
17.55,21.1,55.157373,-0.932364
17.55,22.1,56.143086,-1.032203
17.55,20.1,61.111431,-1.208744
35.55,21.1,46.131134,-0.831916
35.55,20.1,53.305520,-0.410247
46.55,7.1,46.898594,-1.141081
35.55,22.1,38.956970,-0.820547
70.55,9.1,22.622224,0.268552
70.55,8.1,49.911061,-0.609898
70.55,11.1,59.230939,-0.871749
70.55,10.1,55.100055,-0.822415
28.55,9.1,65.797194,-0.664133
36.55,21.1,42.580402,-0.665146
70.55,13.1,57.062816,-0.998060
71.55,9.1,25.194543,-0.612806
36.55,20.1,27.842770,-0.588858
28.55,8.1,56.977194,-0.699238
70.55,12.1,59.166153,-0.809674
71.55,8.1,57.570302,-0.577302
36.55,22.1,40.788290,-0.681743
25.55,7.1,40.579266,-0.870344
70.55,15.1,34.972503,-0.987208
71.55,11.1,65.919635,-0.866547
64.55,9.1,109.930671,-0.556708
70.55,14.1,44.590927,-1.291153
71.55,10.1,53.064884,-1.055009
64.55,8.1,65.097215,-0.569619
71.55,13.1,54.801441,-1.192929
71.55,12.1,67.264098,-1.045395
37.55,17.1,45.730517,-1.328883
71.55,15.1,35.800171,-1.057481
65.55,9.1,70.424005,-0.591606
71.55,14.1,41.800904,-1.214217
16.55,22.1,45.478209,-0.940691
37.55,20.1,34.074748,-1.022583
65.55,8.1,58.572394,-0.491401
16.55,20.1,50.878650,-1.088903
37.55,22.1,46.911478,-0.743974
7.55,21.1,64.090519,-1.032186
16.55,21.1,49.040185,-0.865500
37.55,16.1,47.179025,-1.140481
37.55,19.1,43.444723,-1.098455
37.55,18.1,44.553545,-1.103469
66.55,9.1,69.267574,-0.402005
37.55,21.1,46.976371,-0.794639
11.55,22.1,52.290439,-0.110723
66.55,8.1,50.999184,-0.513754
38.55,17.1,35.958331,-0.952804
7.55,20.1,73.001311,-0.961465
7.55,22.1,82.206639,-0.939825
67.55,9.1,45.375307,0.501842
38.55,20.1,49.695812,-0.913356
67.55,8.1,38.701715,-0.670732
38.55,22.1,52.096354,-0.895100
38.55,16.1,32.797288,-0.998740
24.55,7.1,47.710358,-0.799454
38.55,19.1,47.665066,-0.955838
38.55,18.1,42.733890,-0.919057
38.55,21.1,56.004282,-0.903343
14.55,8.1,57.161783,-0.852157
14.55,9.1,55.074771,-0.780763
23.55,20.1,73.923993,-0.131209
39.55,22.1,56.005593,-0.896079
23.55,21.1,32.627241,0.081826
39.55,21.1,56.163507,-0.830477
23.55,22.1,51.465175,-0.741871
39.55,20.1,48.996855,-0.705018
